age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,unit,lower_is_better,status,n_measured,n,method,grade3_from_p25,anchor_0,anchor_40,anchor_60,anchor_80,anchor_100,value_min,value_max,score_p10,score_p25,score_p50,score_p75,score_p90,score_mean
성인,30,34,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,1531,1531,ecdf,0,1.6,16.0,21.0,26.0,48.0,0.0,138.0,10.45,30.53,60.0,84.72,94.22,56.43
성인,30,34,세,F,민첩성,021,10m4회왕복달리기,초,1,anchors_not_monotonic,1600,0,,,,,,,,9.7,30.0,,,,,,
성인,30,34,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,4303,4303,ecdf,1,95.08,138.0,142.0,154.0,197.0,0.0,247.0,14.12,40.0,80.0,90.64,96.67,66.76
성인,30,34,세,F,근력,028,상대악력,%,0,ok,8747,8747,ecdf,0,29.5,40.8,45.2,49.6,66.508,0.0,152.6,17.74,45.85,73.19,88.99,96.2,65.15
성인,30,34,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1752,1752,ecdf,0,28.2,31.0,32.9,34.8,42.8,14.7,49.1,51.09,79.01,86.79,93.66,97.95,80.23
성인,30,34,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,5449,5449,ecdf,0,26.8,31.0,32.9,34.8,42.0,15.2,53.5,43.41,68.53,85.09,92.71,97.53,76.85
성인,30,34,세,F,민첩성,040,반응시간,초,1,ok,6614,6614,ecdf,1,-0.559,-0.423,-0.381,-0.347,-0.283,0.147,1.999,13.77,40.0,59.4,80.0,93.26,57.2
성인,30,34,세,F,순발력,041,성인체공시간,초,0,ok,3914,3914,ecdf,1,0.328,0.412,0.437,0.464,0.5267,0.001,0.651,14.07,40.0,64.13,83.0,94.15,59.32
성인,35,39,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,14794,14794,ecdf,0,-14.514,4.6,9.3,14.0,23.814,-30.0,47.9,12.29,35.3,62.34,83.43,94.33,57.83
성인,35,39,세,M,근지구력,019,교차윗몸일으키기,회,0,ok,14806,14806,ecdf,0,11.0,33.0,39.0,45.0,61.0,0.0,76.0,16.72,43.12,69.64,86.73,95.8,63.07
성인,35,39,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,4203,4203,ecdf,0,3.0,28.0,37.0,45.0,71.0,0.0,108.0,14.88,40.0,62.81,84.18,94.49,59.39
성인,35,39,세,M,민첩성,021,10m4회왕복달리기,초,1,anchors_not_monotonic,3821,0,,,,,,,,7.89,32.4,,,,,,
성인,35,39,세,M,순발력,022,제자리멀리뛰기,cm,0,ok,9499,9499,ecdf,1,153.0,197.0,199.0,214.0,251.0,0.0,306.0,14.57,40.0,76.97,89.97,96.62,66.32
성인,35,39,세,M,근력,028,상대악력,%,0,ok,15119,15119,ecdf,0,40.4,51.1,56.6,62.1,82.0,0.0,308.4,24.91,51.48,75.72,89.38,96.28,67.9
성인,35,39,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1701,1701,ecdf,0,30.1,37.2,39.5,41.8,50.5,20.4,56.3,18.82,47.85,74.23,88.84,96.13,65.79
성인,35,39,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,9205,9205,ecdf,0,32.2,37.2,39.5,41.8,48.7,19.7,59.2,25.39,54.03,78.14,89.95,96.61,69.09
성인,35,39,세,M,민첩성,040,반응시간,초,1,ok,10952,10952,ecdf,1,-0.472,-0.373,-0.339,-0.311,-0.26,0.205,1.999,13.83,40.0,58.13,78.77,92.45,56.49
